lat,lon,flow_area
19202160.918026134,1782027.7006550126,Perimeter 1
19201981.478510268,1781937.0056823187,Perimeter 1
19201937.59384606,1781854.112427706,Perimeter 1
19201922.96562466,1781779.0208911742,Perimeter 1
19201927.84169846,1781452.323946524,Perimeter 1
19201894.684396617,1781307.0169472615,Perimeter 1
19201646.004946683,1780793.1758421753,Perimeter 1
19201400.480643623,1780488.1634387835,Perimeter 1
19201248.2109893,1780308.3489801842,Perimeter 1
19201087.900826,1780152.89035259,Perimeter 1
19200902.288642015,1780038.2055171654,Perimeter 1
19200641.424231872,1779897.2679844818,Perimeter 1
19200389.44388102,1779814.555470387,Perimeter 1
19200148.44973432,1779757.5444575504,Perimeter 1
19199822.085245512,1779730.1313177643,Perimeter 1
19199389.232632738,1779765.92639688,Perimeter 1
19199032.31959412,1779836.9608718618,Perimeter 1
19198518.153700817,1779953.9911303085,Perimeter 1
19197978.57866058,1780147.829051043,Perimeter 1
19197582.549905,1780314.96571775,Perimeter 1
19196767.745562095,1780760.442559069,Perimeter 1
19203671.152565602,1777297.9220983027,Perimeter 2
19203704.634241972,1777243.4169231409,Perimeter 2
19203884.687820025,1777259.7854302365,Perimeter 2
19204022.65095126,1777292.5224444275,Perimeter 2
19204116.185277518,1777360.3348309663,Perimeter 2
19204186.336022213,1777463.2225898528,Perimeter 2
19204235.4415435,1777524.019901922,Perimeter 2
19204314.94572082,1777587.1555721476,Perimeter 2
19204424.848554175,1777624.5693026518,Perimeter 2
19204838.737947877,1777736.8104941642,Perimeter 2
19205357.853458624,1777881.7886998677,Perimeter 2
19205292.37943024,1778377.5206290474,Perimeter 2
19205261.980774205,1778941.064944766,Perimeter 2
19205271.33420683,1779586.4517959624,Perimeter 2
19205327.454802584,1780189.7482003416,Perimeter 2
19205446.711068567,1780732.2472926516,Perimeter 2
19205570.644050863,1781284.0998175875,Perimeter 2
19205715.622256566,1781592.7630942466,Perimeter 2
19205842.521969263,1781823.2260238584,Perimeter 2
19205847.089900706,1781878.6361456304,Perimeter 2
19205965.826579314,1782189.0444241564,Perimeter 2
19206103.789710548,1782432.2336724333,Perimeter 2
19206244.09119994,1782602.9338178583,Perimeter 2
19206375.64212233,1782750.0182975607,Perimeter 2
19206540.99444265,1782845.479430942,Perimeter 2
19206781.3519392,1782929.0079226508,Perimeter 2
19206943.29493333,1782952.8732059961,Perimeter 2
19207095.009948883,1782946.0545536117,Perimeter 2
19207216.041028704,1782927.3032595548,Perimeter 2
19207272.294910874,1782930.7125857468,Perimeter 2
19207273.999573972,1782980.1478155337,Perimeter 2
19207217.745691802,1783213.6866596988,Perimeter 2
19207130.8078739,1783438.7021883833,Perimeter 2
19207047.27938219,1783529.0493324765,Perimeter 2
19206991.025500022,1783547.8006265336,Perimeter 2
19206950.113585714,1783544.3913003413,Perimeter 2
19206881.927061867,1783527.3446693805,Perimeter 2
19206829.08250589,1783633.0337813383,Perimeter 2
19206752.372666564,1783679.059684933,Perimeter 2
19206667.13951176,1783684.1736742212,Perimeter 2
19206518.8338224,1783614.2824872811,Perimeter 2
19206445.533309266,1783571.665909879,Perimeter 2
19206431.896004498,1783525.6400062842,Perimeter 2
19206455.761287842,1783462.5674717287,Perimeter 2
19206382.460774712,1783431.883535999,Perimeter 2
19206370.52813304,1783396.085610981,Perimeter 2
