lat,lon,flow_area
16.06899,108.21003,Perimeter 1
16.069103,108.209142,Perimeter 1
16.069125,108.209719,Perimeter 1
16.06916,108.22393,Perimeter 1
16.069393,108.1822765,Perimeter 1
16.069610595703125,108.1837527012234,Perimeter 1
16.069692,108.211718,Perimeter 1
16.069799,108.181793,Perimeter 1
16.069851,108.184563,Perimeter 1
16.069937,108.209572,Perimeter 1
16.069961547851562,108.18603513407402,Perimeter 1
16.070124,108.188204,Perimeter 1
16.07019,108.186035,Perimeter 1
16.0701904296875,108.18600105835716,Perimeter 1
16.0702008,108.2016194,Perimeter 1
16.0702924,108.2150193,Perimeter 1
16.070394,108.233602,Perimeter 2
16.070747,108.185349,Perimeter 1
16.070804595947266,108.23304748535156,Perimeter 2
16.070853,108.209734,Perimeter 1
16.07093,108.195328,Perimeter 1
16.07097,108.22507,Perimeter 1
16.071087,108.185471,Perimeter 1
16.07131,108.22496,Perimeter 1
16.071486,108.21677,Perimeter 1
16.071605,108.224766,Perimeter 1
16.071714401245117,108.2131576538086,Perimeter 1
16.071878,108.205376,Perimeter 1
16.071918,108.182014,Perimeter 1
16.07212,108.22407,Perimeter 1
16.072173,108.172805,Perimeter 1
16.07278,108.22476,Perimeter 1
16.07329,108.21406,Perimeter 1
16.07354736328125,108.21392822265624,Perimeter 1
16.073595,108.177376,Perimeter 1
16.07384,108.22454,Perimeter 1
16.07442283630371,108.2387237548828,Perimeter 2
16.0746686,108.1748492,Perimeter 1
16.0747807,108.2221366,Perimeter 1
16.0751253,108.2222813,Perimeter 1
16.075137011267422,108.22260158673512,Perimeter 1
16.0751426,108.2221122,Perimeter 1
16.07534,108.22192,Perimeter 1
16.075698852539062,108.17541814699844,Perimeter 1
16.07596,108.22898,Perimeter 2
16.0765254,108.2208427,Perimeter 1
16.076690673828125,108.22277950792235,Perimeter 1
16.0770314,108.222796,Perimeter 1
16.07709,108.21957,Perimeter 1
16.0772,108.22335,Perimeter 1
16.077284,108.22284,Perimeter 1
16.0777845,108.1728525,Perimeter 1
16.07818603515625,108.21659674313096,Perimeter 1
16.0785429,108.2169934,Perimeter 1
16.078618,108.230382,Perimeter 2
16.07919,108.1664489,Perimeter 1
16.079642,108.228927,Perimeter 2
16.080028,108.215291,Perimeter 1
16.080167,108.21135,Perimeter 1
16.08072,108.21916,Perimeter 1
16.081241,108.215937,Perimeter 1
16.081343,108.212645,Perimeter 1
