station_name,gauge_height,latitude,longitude,project_x,project_y
station_0172,10,,,19201818.87,1778351.75
station_0173,10,,,19201286.11,1778360.37
station_0174,10,,,19201897.26,1778357.79
station_0175,10,,,19201676.94,1778361.42
station_0176,10,,,19202238.68,1778357.41
station_0177,10,,,19201755.76,1778374.98
station_0178,10,,,19201476.11,1778390.17
station_0179,10,,,19198681.50,1778428.82
station_0180,10,,,19201441.85,1778399.31
station_0181,10,,,19202456.26,1778401.71
station_0182,10,,,19197245.22,1778476.91
station_0183,10,,,19202548.66,1778405.12
station_0184,10,,,19201457.72,1778420.85
station_0185,10,,,19203670.75,1778393.93
station_0186,10,,,19201283.70,1778427.65
station_0187,10,,,19202833.13,1778407.43
station_0188,10,,,19201506.85,1778427.42
station_0189,10,,,19201534.64,1778430.59
station_0190,10,,,19198615.66,1778473.19
station_0191,10,,,19198793.04,1778488.20
station_0192,10,,,19201575.90,1778455.74
station_0193,10,,,19198720.64,1778523.68
station_0194,10,,,19199361.83,1778527.18
station_0195,10,,,19201266.74,1778505.22
station_0196,10,,,19201274.16,1778507.22
station_0197,10,,,19198781.87,1778542.54
station_0198,10,,,19201303.84,1778526.26
station_0199,10,,,19201459.81,1778538.18
station_0200,10,,,19198550.18,1778585.32
station_0201,10,,,19198627.50,1778614.02
station_0202,10,,,19201388.77,1778580.91
station_0203,10,,,19201358.97,1778607.68
station_0204,10,,,19197400.43,1778671.38
station_0205,10,,,19201258.36,1778621.89
station_0206,10,,,19199414.97,1778648.39
station_0207,10,,,19201571.59,1778620.88
station_0208,10,,,19198207.07,1778673.59
station_0209,10,,,19201309.14,1778637.93
station_0210,10,,,19201789.11,1778632.35
station_0211,10,,,19202130.02,1778665.87
station_0212,10,,,19201430.02,1778688.48
station_0213,10,,,19205003.20,1778657.55
station_0214,10,,,19201534.58,1778726.23
station_0215,10,,,19201810.06,1778731.78
station_0216,10,,,19203703.88,1778732.18
station_0217,10,,,19201816.41,1778774.24
station_0218,10,,,19202011.70,1778786.96
station_0219,10,,,19201376.33,1778813.11
station_0220,10,,,19201762.92,1778811.74
station_0221,10,,,19201825.99,1778816.99
station_0222,10,,,19201821.93,1778817.71
station_0223,10,,,19198266.98,1778870.85
station_0224,10,,,19198045.32,1778875.99
station_0225,10,,,19201497.63,1778834.72
station_0226,10,,,19204646.03,1778793.93
station_0227,10,,,19200110.22,1778865.63
station_0228,10,,,19202181.82,1778844.88
station_0229,10,,,19204046.29,1778822.43
station_0230,10,,,19201413.05,1778868.42
station_0231,10,,,19202532.94,1778889.69
station_0232,10,,,19201831.83,1778907.50
station_0233,10,,,19201960.00,1778940.69
station_0234,10,,,19204614.82,1778911.67
station_0235,10,,,19200336.74,1778996.63
station_0236,10,,,19201113.74,1778987.46
station_0237,10,,,19204764.59,1778944.13
station_0238,10,,,19201971.66,1778982.66
station_0239,10,,,19200131.85,1779015.25
station_0240,10,,,19201214.85,1779018.12
station_0241,10,,,19199414.98,1779042.81
station_0242,10,,,19203839.35,1778985.07
station_0243,10,,,19197580.74,1779071.00
station_0244,10,,,19199260.20,1779048.42
station_0245,10,,,19201387.81,1779022.32
station_0246,10,,,19201260.70,1779026.03
station_0247,10,,,19202628.85,1779011.38
station_0248,10,,,19201378.02,1779033.11
station_0249,10,,,19201271.48,1779035.56
station_0250,10,,,19204779.79,1778989.95
station_0251,10,,,19204769.34,1778993.63
station_0252,10,,,19201307.50,1779040.80
station_0253,10,,,19203560.50,1779013.67
station_0254,10,,,19201350.11,1779047.81
station_0255,10,,,19199603.85,1779075.45
station_0256,10,,,19201383.57,1779056.94
station_0257,10,,,19201394.28,1779056.80
station_0258,10,,,19201468.00,1779058.24
station_0259,10,,,19204663.55,1779015.44
station_0260,10,,,19201467.18,1779061.02
station_0261,10,,,19202222.37,1779056.06
station_0262,10,,,19201545.03,1779074.38
station_0263,10,,,19204774.93,1779036.62
station_0264,10,,,19202072.59,1779079.24
station_0265,10,,,19204875.26,1779051.04
station_0266,10,,,19198405.09,1779139.31
station_0267,10,,,19202013.54,1779101.53
station_0268,10,,,19204592.63,1779070.62
station_0269,10,,,19199300.73,1779142.08
station_0270,10,,,19199434.80,1779145.80
station_0271,10,,,19201896.61,1779112.96
station_0272,10,,,19199319.90,1779172.73
station_0273,10,,,19200625.44,1779158.40
station_0274,10,,,19200159.29,1779170.20
station_0275,10,,,19200159.41,1779176.08
station_0276,10,,,19201189.27,1779178.45
station_0277,10,,,19202927.11,1779162.33
station_0278,10,,,19203652.33,1779154.87
station_0279,10,,,19201196.70,1779189.09
station_0280,10,,,19199396.63,1779221.77
station_0281,10,,,19199283.46,1779227.19
station_0282,10,,,19200474.60,1779217.92
station_0283,10,,,19201380.11,1779211.40
station_0284,10,,,19202169.77,1779215.87
station_0285,10,,,19199452.15,1779255.25
station_0286,10,,,19200331.10,1779260.62
station_0287,10,,,19202742.53,1779228.22
station_0288,10,,,19199921.98,1779270.21
station_0289,10,,,19199816.66,1779278.82
station_0290,10,,,19203572.36,1779230.28
station_0291,10,,,19205005.37,1779222.33
station_0292,10,,,19204963.44,1779227.21
station_0293,10,,,19198967.15,1779324.55
station_0294,10,,,19205072.58,1779250.13
station_0295,10,,,19198457.69,1779344.23
station_0296,10,,,19199421.02,1779337.89
station_0297,10,,,19197751.68,1779369.47
station_0298,10,,,19202278.73,1779308.55
station_0299,10,,,19202873.78,1779301.69
station_0300,10,,,19201374.30,1779322.97
station_0301,10,,,19201279.36,1779336.77
station_0302,10,,,19201341.19,1779338.38
station_0303,10,,,19202863.34,1779321.77
station_0304,10,,,19198402.27,1779407.91
station_0305,10,,,19198560.71,1779429.86
station_0306,10,,,19201556.14,1779398.30
station_0307,10,,,19198351.09,1779453.59
station_0308,10,,,19198647.86,1779455.31
station_0309,10,,,19201326.66,1779428.54
station_0310,10,,,19198805.71,1779465.41
station_0311,10,,,19199038.26,1779480.25
station_0312,10,,,19198806.04,1779490.72
station_0313,10,,,19198802.40,1779490.82
station_0314,10,,,19200475.27,1779469.27
station_0315,10,,,19201910.63,1779460.04
station_0316,10,,,19203901.10,1779444.58
station_0317,10,,,19198733.40,1779553.42
station_0318,10,,,19203842.31,1779490.86
station_0319,10,,,19201345.38,1779529.77
station_0320,10,,,19199802.51,1779559.17
station_0321,10,,,19202988.13,1779520.63
station_0322,10,,,19198746.98,1779590.91
station_0323,10,,,19202976.85,1779558.45
station_0324,10,,,19202099.92,1779589.74
station_0325,10,,,19202956.51,1779591.41
station_0326,10,,,19201713.36,1779620.25
station_0327,10,,,19200880.14,1779649.62
station_0328,10,,,19198377.96,1779688.01
station_0329,10,,,19202882.74,1779649.46
station_0330,10,,,19197391.98,1779729.72
station_0331,10,,,19202957.62,1779721.57
station_0332,10,,,19201812.36,1779793.48
station_0333,10,,,19201798.63,1779822.18
station_0334,10,,,19197883.73,1779880.55
station_0335,10,,,19202935.63,1779839.31
station_0336,10,,,19204455.62,1779883.53
station_0337,10,,,19197614.71,1780003.18
station_0338,10,,,19202679.62,1779946.97
station_0339,10,,,19202695.63,1779984.93
station_0340,10,,,19202729.95,1779985.77
station_0341,10,,,19202677.54,1779987.09
station_0342,10,,,19202657.25,1780009.24
station_0343,10,,,19197677.21,1780116.47
station_0344,10,,,19203414.32,1780067.77
station_0345,10,,,19202543.63,1780142.10
station_0346,10,,,19202751.32,1780157.62
station_0347,10,,,19202753.59,1780195.34
station_0348,10,,,19202408.17,1780206.47
station_0349,10,,,19202813.18,1780213.22
station_0350,10,,,19202758.68,1780223.25
station_0351,10,,,19197405.57,1780351.27
station_0352,10,,,19202091.36,1780332.17
station_0353,10,,,19202134.37,1780371.13
station_0354,10,,,19203568.42,1780360.19
station_0355,10,,,19196721.84,1780516.36
station_0356,10,,,19203414.11,1780475.71
station_0357,10,,,19201954.26,1780538.09
station_0358,10,,,19201532.38,1780559.18
station_0359,10,,,19202369.66,1780609.17
station_0360,10,,,19202025.26,1780671.53
station_0361,10,,,19201672.83,1780687.58
station_0362,10,,,19202066.68,1780732.79
station_0363,10,,,19202017.67,1780736.44
station_0364,10,,,19203689.03,1780727.17
station_0365,10,,,19204923.00,1780717.33
station_0366,10,,,19204923.74,1780748.89
station_0367,10,,,19202223.68,1780793.61
station_0368,10,,,19202282.32,1780852.87
station_0369,10,,,19205063.55,1780887.07
station_0370,10,,,19202087.30,1780935.26
station_0371,10,,,19202437.14,1781014.31
station_0372,10,,,19205432.43,1781005.80
station_0373,10,,,19202027.73,1781133.83
station_0374,10,,,19203808.52,1781130.96
station_0375,10,,,19204781.62,1781224.21
station_0376,10,,,19204719.71,1781240.09
station_0377,10,,,19204785.40,1781261.98
station_0378,10,,,19202570.70,1781411.92
station_0379,10,,,19204101.16,1781403.58
station_0380,10,,,19204129.49,1781479.09
station_0381,10,,,19204023.03,1781513.50
station_0382,10,,,19204872.80,1781507.05
station_0383,10,,,19204155.03,1781524.70
station_0384,10,,,19203954.61,1781533.22
station_0385,10,,,19204002.95,1781540.72
station_0386,10,,,19205318.41,1781524.26
station_0387,10,,,19205051.44,1781537.12
station_0388,10,,,19203767.44,1781558.72
station_0389,10,,,19204139.19,1781563.49
station_0390,10,,,19204116.93,1781597.58
station_0391,10,,,19202157.57,1781627.22
station_0392,10,,,19205245.78,1781596.02
station_0393,10,,,19204914.78,1781650.96
station_0394,10,,,19204946.16,1781674.47
station_0395,10,,,19203971.54,1781706.55
station_0396,10,,,19204952.64,1781726.79
station_0397,10,,,19203889.51,1781787.87
station_0398,10,,,19203909.40,1781801.34
station_0399,10,,,19205244.17,1781788.71
station_0400,10,,,19204070.39,1781809.49
station_0401,10,,,19203657.46,1781816.46
station_0402,10,,,19203822.98,1781843.60
station_0403,10,,,19203634.71,1781861.74
station_0404,10,,,19204073.44,1781925.11
station_0405,10,,,19203672.09,1781932.93
station_0406,10,,,19204013.84,1781937.65
